wl (nm)	EQE (%)
3.500000e+02	2.705117e+01
3.510000e+02	2.681411e+01
3.520000e+02	2.657705e+01
3.530000e+02	2.633999e+01
3.540000e+02	2.610293e+01
3.550000e+02	2.586588e+01
3.560000e+02	2.584617e+01
3.570000e+02	2.582646e+01
3.580000e+02	2.580676e+01
3.590000e+02	2.578705e+01
3.600000e+02	2.576735e+01
3.610000e+02	2.569969e+01
3.620000e+02	2.563202e+01
3.630000e+02	2.556436e+01
3.640000e+02	2.549670e+01
3.650000e+02	2.542904e+01
3.660000e+02	2.529659e+01
3.670000e+02	2.516415e+01
3.680000e+02	2.503171e+01
3.690000e+02	2.489927e+01
3.700000e+02	2.476682e+01
3.710000e+02	2.524366e+01
3.720000e+02	2.572050e+01
3.730000e+02	2.619734e+01
3.740000e+02	2.667418e+01
3.750000e+02	2.715102e+01
3.760000e+02	2.742945e+01
3.770000e+02	2.770787e+01
3.780000e+02	2.798630e+01
3.790000e+02	2.826473e+01
3.800000e+02	2.854315e+01
3.810000e+02	2.929345e+01
3.820000e+02	3.004374e+01
3.830000e+02	3.079404e+01
3.840000e+02	3.154434e+01
3.850000e+02	3.229463e+01
3.860000e+02	3.289992e+01
3.870000e+02	3.350521e+01
3.880000e+02	3.411049e+01
3.890000e+02	3.471578e+01
3.900000e+02	3.532107e+01
3.910000e+02	3.606291e+01
3.920000e+02	3.680476e+01
3.930000e+02	3.754660e+01
3.940000e+02	3.828844e+01
3.950000e+02	3.903029e+01
3.960000e+02	3.954554e+01
3.970000e+02	4.006078e+01
3.980000e+02	4.057603e+01
3.990000e+02	4.109128e+01
4.000000e+02	4.160653e+01
4.010000e+02	4.224625e+01
4.020000e+02	4.288597e+01
4.030000e+02	4.352569e+01
4.040000e+02	4.416541e+01
4.050000e+02	4.480514e+01
4.060000e+02	4.533955e+01
4.070000e+02	4.587396e+01
4.080000e+02	4.640837e+01
4.090000e+02	4.694278e+01
4.100000e+02	4.747719e+01
4.110000e+02	4.789025e+01
4.120000e+02	4.830332e+01
4.130000e+02	4.871639e+01
4.140000e+02	4.912946e+01
4.150000e+02	4.954253e+01
4.160000e+02	4.978042e+01
4.170000e+02	5.001832e+01
4.180000e+02	5.025621e+01
4.190000e+02	5.049411e+01
4.200000e+02	5.073200e+01
4.210000e+02	5.109571e+01
4.220000e+02	5.145942e+01
4.230000e+02	5.182312e+01
4.240000e+02	5.218683e+01
4.250000e+02	5.255054e+01
4.260000e+02	5.274926e+01
4.270000e+02	5.294797e+01
4.280000e+02	5.314669e+01
4.290000e+02	5.334541e+01
4.300000e+02	5.354413e+01
4.310000e+02	5.374984e+01
4.320000e+02	5.395555e+01
4.330000e+02	5.416127e+01
4.340000e+02	5.436698e+01
4.350000e+02	5.457269e+01
4.360000e+02	5.472682e+01
4.370000e+02	5.488095e+01
4.380000e+02	5.503507e+01
4.390000e+02	5.518920e+01
4.400000e+02	5.534332e+01
4.410000e+02	5.556401e+01
4.420000e+02	5.578470e+01
4.430000e+02	5.600539e+01
4.440000e+02	5.622608e+01
4.450000e+02	5.644677e+01
4.460000e+02	5.644757e+01
4.470000e+02	5.644838e+01
4.480000e+02	5.644918e+01
4.490000e+02	5.644998e+01
4.500000e+02	5.645078e+01
4.510000e+02	5.664117e+01
